epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,8302.29,1.06117,1.07785,1.12066,0.76332,0.71698,0.76767,0.4949,1.1652,1.24356,1.16317,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,8537.82,1.06144,1.04962,1.10823,0.83632,0.64731,0.76058,0.49039,1.15866,1.24735,1.1646,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,8744.61,1.06586,1.08524,1.11626,0.75161,0.69326,0.76112,0.49336,1.16909,1.2333,1.16466,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,8949.48,1.06428,1.06724,1.13364,0.81457,0.66307,0.76051,0.48621,1.20037,1.28099,1.17617,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,9158.92,1.05085,1.03359,1.10319,0.80798,0.65499,0.761,0.48896,1.18419,1.26967,1.16167,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,9384.41,1.06513,1.0438,1.10631,0.76237,0.71968,0.76486,0.49367,1.16684,1.25276,1.15633,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,9594,1.03942,1.00973,1.10495,0.83208,0.67925,0.7746,0.49835,1.19121,1.23664,1.16542,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,9766.3,1.05113,1.04561,1.10794,0.86516,0.66038,0.78079,0.50657,1.16643,1.22109,1.1622,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,9945.32,1.04297,1.03677,1.10845,0.91851,0.638,0.7801,0.5039,1.16245,1.1976,1.16237,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,10208.6,1.01267,0.99297,1.09279,0.79756,0.69027,0.77943,0.49892,1.1825,1.20537,1.1735,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,10482.4,1.02204,0.97424,1.08543,0.76956,0.71113,0.77595,0.4939,1.18526,1.2177,1.17694,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,10736.1,0.97044,1.06875,1.05339,0.80593,0.67116,0.7552,0.47676,1.19853,1.28835,1.18221,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,10991.7,0.95461,1.05354,1.06317,0.83106,0.67116,0.75589,0.48184,1.19999,1.26628,1.18614,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,11245.8,0.945,1.00945,1.04711,0.83273,0.65768,0.76274,0.48146,1.19682,1.25403,1.18263,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,11500.7,0.93055,1.01159,1.03983,0.79053,0.67137,0.76309,0.48357,1.19257,1.25111,1.17836,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,11756.7,0.90968,0.93764,1.02402,0.78109,0.69542,0.767,0.48405,1.19042,1.26121,1.17534,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,11960.2,0.90154,0.93214,1.01401,0.86447,0.64151,0.77026,0.48752,1.18263,1.25386,1.16817,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,12134.8,0.90767,0.93233,1.01655,0.80955,0.66577,0.76239,0.4887,1.18005,1.25821,1.16977,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,12306.9,0.90478,0.95108,1.02506,0.87214,0.63342,0.76265,0.48669,1.1815,1.25809,1.16826,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,12481,0.88939,0.91197,1.01082,0.88386,0.63612,0.76441,0.48923,1.17873,1.2488,1.16623,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,12657.6,0.90796,0.94228,1.02214,0.8761,0.62895,0.76742,0.48969,1.19249,1.24988,1.17542,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
